,title,genre
699,Cleopatterer,Musical/Film
700,Climax Rag,Ragtime
701,Climb Ev'ry Mountain,Musical/Film
702,Closer,Rock/Pop
703,Closer To Fine,Folk/Roots
704,Closing Time,Rock/Pop
705,Clown,Rock/Pop
706,C'mon Babe,Hip-Hop
707,C'mon Everybody,Rock/Pop
708,Coal Miner's Daughter,Country/Bluegrass
709,Coat Of Many Colors,Country/Bluegrass
710,Coattails Of A Dead Man,Rock/Pop
711,Coax Me,Rock/Pop
712,Cocaine,Rock/Pop
713,Cocaine In My Brain,Reggae
714,Cocktails For Two,Jazz
715,Coffee & TV,Rock/Pop
716,Cold Blue Steel And Sweet Fire,Rock/Pop
717,Cold Cold Ground,Folk/Roots
718,Cold Duck Time,Jazz
719,Cold Hands From New York,Folk/Roots
720,"Cold, Cold Heart",Country/Bluegrass
721,Colonel Bogey March,Musical/Film
722,Colors,Hip-Hop
723,Come A Long Way,Folk/Roots
724,Come And Get It,Rock/Pop
725,Come And Talk To Me,R & B/Soul
726,Come As You Are,Rock/Pop
727,Come Baby Come,Hip-Hop
728,Come Clean,Hip-Hop
729,"Come Down, Ma Evenin' Star",Musical/Film
730,Come Fly With Me,Jazz
731,Come In From The Cold,Rock/Pop
732,Come Josephine In My Flying Machine,Musical/Film
733,"Come On Around To My House, Mama",Blues
734,Come On In My Kitchen,Blues
735,"Come On, Eileen",Rock/Pop
736,"Come On, Let's Go",Rock/Pop
737,Come On-A My House,Jazz
738,Come Out,Classical/ Contemporary
739,Come Rain Or Come Shine,Jazz
740,Come Saturday Morning,Jazz
741,Come See About Me,R & B/Soul
742,Come Sunday,Jazz
743,Come To Daddy,Dance/Electronica
744,Come To My Window,Folk/Roots
745,Come Together,Rock/Pop
746,Come Together,Dance/Electronica
747,Comes Love,Jazz
